Location,Property_Type,Bedrooms,Bathrooms,Size_SQM,Amenities,Price_KES,Listing_Type,Listing_Date,Price_Per_SQM,Amenity_Score,Listing_Month,Distance_to_CBD_KM
Kilimani,Apartment,3,3,120,"Security, Parking",90000,For Rent,2026-02-08,750.0,2,2,3.8
Rusinga Court,House,5,5,250,"Security, Parking",500000000,For Sale,2025-12-15,2000000.0,2,12,10.0
Thigiri,Apartment,2,2,150,"Security, Parking",175000,For Rent,2025-12-27,1166.6666666666667,2,12,10.0
O,House,4,4,180,"Security, Parking",250000000,For Sale,2025-12-27,1388888.888888889,2,12,10.0
Valley Arcade,Apartment,3,3,120,"Security, Parking",160000,For Rent,2026-02-04,1333.3333333333333,2,2,10.0
Riverside,House,4,4,180,"Security, Parking",60000000,For Sale,2025-11-25,333333.3333333333,2,11,2.5
Kilimani,Apartment,3,2,120,"Security, Parking",80000,For Rent,2026-01-17,666.6666666666666,2,1,3.8
Kahawa West,Apartment,4,3,180,"Security, Parking",110000,For Rent,2026-02-16,611.1111111111111,2,2,10.0
Near Pavillion,House,3,3,120,"Security, Parking",6500000,For Sale,2025-12-05,54166.666666666664,2,12,10.0
Juja Farm,House,3,3,120,"Security, Parking",6750000,For Sale,2026-01-31,56250.0,2,1,10.0
Near Lavington Mall,Townhouse,4,4,180,"Security, Parking",70000000,For Sale,2025-12-12,388888.8888888889,2,12,10.0
Off Waiyaki Way,Apartment,4,4,180,"Security, Parking",120000,For Rent,2026-02-09,666.6666666666666,2,2,10.0
Syokimau,House,5,5,250,"Security, Parking",24000000,For Sale,2025-12-12,96000.0,2,12,18.5
Lavington,Townhouse,4,4,180,"Security, Parking",35000000,For Sale,2025-11-20,194444.44444444444,2,11,4.5
Ruaka,House,5,5,250,"Security, Parking",30500000,For Sale,2026-01-02,122000.0,2,1,12.3
Katani Road,Villa,5,5,250,"Security, Parking",22500000,For Sale,2026-02-17,90000.0,2,2,10.0
21 05 07,Apartment,3,3,186,"Security, Parking",85000,For Rent,2025-11-24,456.98924731182797,2,11,10.0
Mwananchi Rd,House,4,4,180,"Security, Parking",20000000,For Sale,2026-02-09,111111.11111111111,2,2,10.0
Kilimani,Apartment,2,2,80,"Security, Parking",80000,For Rent,2026-02-04,1000.0,2,2,3.8
Runda,House,5,5,250,"Security, Parking",110000000,For Sale,2026-02-05,440000.0,2,2,9.8
Syokimau,House,4,4,180,"Security, Parking",23000000,For Sale,2025-11-23,127777.77777777778,2,11,18.5
Nyari,Apartment,3,3,120,"Security, Parking",170000,For Rent,2025-12-06,1416.6666666666667,2,12,10.0
Ruiru,House,3,3,120,"Security, Parking",9500000,For Sale,2025-12-24,79166.66666666667,2,12,10.0
Lavington,Townhouse,4,4,180,"Security, Parking",65000000,For Sale,2025-12-07,361111.1111111111,2,12,4.5
Riverside,Apartment,3,4,170,"Security, Parking",130000,For Rent,2025-12-12,764.7058823529412,2,12,2.5
Runda,Villa,6,6,250,"Security, Parking",155000000,For Sale,2026-02-14,620000.0,2,2,9.8
Juja,Townhouse,3,3,120,"Security, Parking",9500000,For Sale,2025-12-19,79166.66666666667,2,12,10.0
77,House,7,7,250,"Security, Parking",135000000,For Sale,2026-01-11,540000.0,2,1,10.0
Kilimani,Apartment,3,3,120,"Security, Parking",160000,For Rent,2026-02-13,1333.3333333333333,2,2,3.8
Shanzu,House,5,5,250,"Security, Parking",45000000,For Sale,2025-12-06,180000.0,2,12,10.0
Gigiri Crescent,House,6,6,250,"Security, Parking",140000000,For Sale,2026-01-24,560000.0,2,1,10.0
Brookside,Apartment,2,2,80,"Security, Parking",85000,For Rent,2026-01-19,1062.5,2,1,10.0
Riverside,Apartment,3,3,228,"Security, Parking",130000,For Rent,2025-12-16,570.1754385964912,2,12,2.5
Riverside,Apartment,3,5,120,"Security, Parking",145000,For Rent,2026-01-05,1208.3333333333333,2,1,2.5
Convent Drive,Townhouse,5,5,250,"Security, Parking",70000000,For Sale,2026-02-01,280000.0,2,2,10.0
Matasia,House,3,3,120,"Security, Parking",6800000,For Sale,2025-12-11,56666.666666666664,2,12,10.0
Tabere Cresent Road,Apartment,2,3,80,"Security, Parking",125000,For Rent,2025-11-29,1562.5,2,11,10.0
Kenyatta Road,House,4,4,180,"Security, Parking",15500000,For Sale,2025-12-10,86111.11111111111,2,12,10.0
Athi River,House,4,4,180,"Security, Parking",22500000,For Sale,2026-01-01,125000.0,2,1,10.0
Buruburu,House,3,3,120,"Security, Parking",10300000,For Sale,2026-02-07,85833.33333333333,2,2,7.9
Kilimani,Apartment,3,3,120,"Security, Parking",110000,For Rent,2026-01-12,916.6666666666666,2,1,3.8
Lussingetti,House,3,3,120,"Security, Parking",12000000,For Sale,2026-02-12,100000.0,2,2,10.0
Westlands,Townhouse,5,5,250,"Security, Parking",59500000,For Sale,2025-11-29,238000.0,2,11,5.2
Kileleshwa,House,5,5,250,"Security, Parking",65000000,For Sale,2026-01-20,260000.0,2,1,4.2
Runda Nairobi,Townhouse,5,5,250,"Security, Parking",150000000,For Sale,2025-12-05,600000.0,2,12,10.0
Riara Road,Apartment,2,2,80,"Security, Parking",95000,For Rent,2026-02-05,1187.5,2,2,10.0
Kiambu Road,Villa,4,4,180,"Security, Parking",45000000,For Sale,2026-01-02,250000.0,2,1,8.8
Lang'Ata Nairobi,Townhouse,4,4,180,"Security, Parking",27000000,For Sale,2026-02-16,150000.0,2,2,10.0
2,Townhouse,5,5,250,"Security, Parking",200000000,For Sale,2026-01-28,800000.0,2,1,10.0
Kileleshwa,Apartment,2,2,80,"Security, Parking",90000,For Rent,2026-01-30,1125.0,2,1,4.2
Lavington,Townhouse,5,5,250,"Security, Parking",65000000,For Sale,2026-01-18,260000.0,2,1,4.5
Karen,House,7,7,250,"Security, Parking",170000000,For Sale,2026-01-16,680000.0,2,1,13.5
Muiru,Apartment,2,1,80,"Security, Parking",13000,For Rent,2025-12-27,162.5,2,12,10.0
Tatu City,Apartment,2,2,85,"Security, Parking",35750,For Rent,2026-01-11,420.5882352941176,2,1,10.0
Mbaazi Avenue,Apartment,3,3,120,"Security, Parking",150000,For Rent,2026-01-24,1250.0,2,1,10.0
Kiambu Town,House,3,3,120,"Security, Parking",27000000,For Sale,2025-12-14,225000.0,2,12,10.0
Yukos,House,3,3,120,"Security, Parking",5800000,For Sale,2026-02-17,48333.333333333336,2,2,10.0
Kileleshwa,Apartment,2,2,80,"Security, Parking",60000,For Rent,2025-11-20,750.0,2,11,4.2
Kilimani,Apartment,2,2,80,"Security, Parking",78000,For Rent,2025-11-19,975.0,2,11,3.8
Parklands,Apartment,3,4,120,"Security, Parking",175000,For Rent,2026-01-01,1458.3333333333333,2,1,4.8
Chalbi Drive,House,4,4,180,"Security, Parking",170000000,For Sale,2025-12-26,944444.4444444445,2,12,10.0
Loresho Ridge,Townhouse,4,4,180,"Security, Parking",40000000,For Sale,2026-01-27,222222.22222222222,2,1,10.0
Kileleshwa,House,5,5,250,"Security, Parking",59000000,For Sale,2025-12-09,236000.0,2,12,4.2
Riverside,Apartment,3,5,2950,"Security, Parking",155000,For Rent,2026-01-26,52.54237288135593,2,1,2.5
Mbagathi Way,Townhouse,3,3,120,"Security, Parking",12500000,For Sale,2025-12-01,104166.66666666667,2,12,10.0
Karen,Villa,4,4,180,"Security, Parking",69000000,For Sale,2025-12-29,383333.3333333333,2,12,13.5
Links Road Nyali,House,4,4,180,"Security, Parking",45000000,For Sale,2025-12-09,250000.0,2,12,10.0
Kikuyu,Townhouse,4,4,180,"Security, Parking",12000000,For Sale,2025-11-19,66666.66666666667,2,11,10.0
Acacia,House,3,3,120,"Security, Parking",6200000,For Sale,2025-12-18,51666.666666666664,2,12,10.0
Kileleshwa,House,5,5,250,"Security, Parking",270000000,For Sale,2026-02-02,1080000.0,2,2,4.2
Fisharies,Apartment,1,1,50,"Security, Parking",13000,For Rent,2026-02-12,260.0,2,2,10.0
Westlands,House,4,4,180,"Security, Parking",35000000,For Sale,2026-01-02,194444.44444444444,2,1,5.2
Thika Road,Apartment,4,4,180,"Security, Parking",85000,For Rent,2026-02-09,472.22222222222223,2,2,10.0
Jcc Church,Villa,4,4,180,"Security, Parking",8950000,For Sale,2025-12-13,49722.22222222222,2,12,10.0
Lavington,Apartment,3,2,120,"Security, Parking",90000,For Rent,2026-01-18,750.0,2,1,4.5
Kangudo Road,House,3,3,120,"Security, Parking",7700000,For Sale,2026-01-15,64166.666666666664,2,1,10.0
Runda,Townhouse,4,4,180,"Security, Parking",32000000,For Sale,2025-12-06,177777.77777777778,2,12,9.8
009,House,10,10,250,"Security, Parking",220000000,For Sale,2025-12-15,880000.0,2,12,10.0
Kileleshwa,Apartment,4,4,180,"Security, Parking",150000,For Rent,2025-12-13,833.3333333333334,2,12,4.2
Westlands,Apartment,3,4,240,"Security, Parking",120000,For Rent,2025-12-28,500.0,2,12,5.2
Runda,House,7,7,250,"Security, Parking",85000000,For Sale,2026-02-11,340000.0,2,2,9.8
Kilimani,Apartment,3,3,2024,"Security, Parking",85000,For Rent,2026-01-09,41.99604743083004,2,1,3.8
Riverside,Apartment,3,4,120,"Security, Parking",170000,For Rent,2025-12-27,1416.6666666666667,2,12,2.5
Othaya Road,Apartment,4,4,180,"Security, Parking",150000,For Rent,2026-01-06,833.3333333333334,2,1,10.0
Limuru Road,Apartment,2,2,12000,"Security, Parking",40000,For Rent,2026-01-11,3.3333333333333335,2,1,10.0
Kitisuru,Townhouse,4,4,180,"Security, Parking",135000000,For Sale,2025-12-14,750000.0,2,12,10.2
Imara Daima,Apartment,3,3,120,"Security, Parking",45000,For Rent,2025-12-23,375.0,2,12,10.0
Parklands,Apartment,4,4,180,"Security, Parking",135000,For Rent,2026-01-06,750.0,2,1,4.8
Thindigua,Apartment,2,2,80,"Security, Parking",45000,For Rent,2025-11-28,562.5,2,11,10.0
Muringa Road,Apartment,5,5,240,"Security, Parking",200000,For Rent,2025-12-11,833.3333333333334,2,12,10.0
Riverside,Apartment,1,1,50,"Security, Parking",85000,For Rent,2026-02-09,1700.0,2,2,2.5
Lavington,Apartment,4,4,180,"Security, Parking",160000,For Rent,2025-12-13,888.8888888888889,2,12,4.5
Nairobi,House,5,5,250,"Security, Parking",200000000,For Sale,2026-02-07,800000.0,2,2,10.0
Beach Road,House,3,3,120,"Security, Parking",48000000,For Sale,2026-01-18,400000.0,2,1,10.0
Westlands,Townhouse,4,4,180,"Security, Parking",58000000,For Sale,2026-01-19,322222.22222222225,2,1,5.2
Old Nyali,House,6,6,250,"Security, Parking",85000000,For Sale,2026-01-21,340000.0,2,1,10.0
Limuru Road,House,4,4,180,"Security, Parking",25000000,For Sale,2025-12-18,138888.88888888888,2,12,10.0
Kitisuru,Townhouse,4,4,180,"Security, Parking",45000000,For Sale,2025-12-08,250000.0,2,12,10.2
Tatu City,Townhouse,3,3,120,"Security, Parking",29000000,For Sale,2026-02-03,241666.66666666666,2,2,10.0
Raphta Road,Apartment,4,4,180,"Security, Parking",100000,For Rent,2026-01-04,555.5555555555555,2,1,10.0
Nyali Area,Townhouse,4,4,180,"Security, Parking",43000000,For Sale,2026-02-10,238888.88888888888,2,2,10.0
Suguta Road,Apartment,3,3,120,"Security, Parking",110000,For Rent,2025-12-26,916.6666666666666,2,12,10.0
Kongowea,House,8,8,250,"Security, Parking",25000000,For Sale,2025-12-01,100000.0,2,12,10.0
21 05 07,Apartment,2,2,149,"Security, Parking",70000,For Rent,2025-11-19,469.7986577181208,2,11,10.0
Hatheru Rd,Apartment,3,5,120,"Security, Parking",75000,For Rent,2026-02-07,625.0,2,2,10.0
General Mathenge Road,Apartment,3,4,260,"Security, Parking",165000,For Rent,2026-01-12,634.6153846153846,2,1,10.0
Kitisuru,House,4,4,180,"Security, Parking",62000000,For Sale,2026-02-10,344444.44444444444,2,2,10.2
Shanzu,Apartment,3,4,264,"Security, Parking",80000,For Rent,2025-12-18,303.030303030303,2,12,10.0
Denis Sprit,Apartment,1,1,50,"Security, Parking",110000,For Rent,2026-01-31,2200.0,2,1,10.0
Nyali Area,Townhouse,3,3,120,"Security, Parking",13000000,For Sale,2025-12-01,108333.33333333333,2,12,10.0
Kiambu Road,Apartment,1,1,120,"Security, Parking",35000,For Rent,2025-12-10,291.6666666666667,2,12,8.8
Kilimani,Apartment,3,2,120,"Security, Parking",80000,For Rent,2026-01-18,666.6666666666666,2,1,3.8
Mountain View,House,5,5,250,"Security, Parking",47500000,For Sale,2026-02-15,190000.0,2,2,10.0
Waiyaki,Apartment,2,2,80,"Security, Parking",55000,For Rent,2025-12-25,687.5,2,12,10.0
Parkwood Villas,Villa,4,4,180,"Security, Parking",18000000,For Sale,2026-02-16,100000.0,2,2,10.0
Lavington,Villa,6,6,250,"Security, Parking",110000000,For Sale,2025-12-19,440000.0,2,12,4.5
Spring Valley,Townhouse,5,5,250,"Security, Parking",50000000,For Sale,2026-01-04,200000.0,2,1,6.1
Karen,Apartment,3,3,120,"Security, Parking",45000,For Rent,2025-12-07,375.0,2,12,13.5
Kikambala,House,4,4,180,"Security, Parking",85000000,For Sale,2026-02-09,472222.22222222225,2,2,10.0
Westlands,Apartment,2,2,80,"Security, Parking",140000,For Rent,2026-02-17,1750.0,2,2,5.2
Kilimani,Apartment,3,2,120,"Security, Parking",100000,For Rent,2026-01-16,833.3333333333334,2,1,3.8
Posta,Villa,6,6,250,"Security, Parking",38000000,For Sale,2025-12-15,152000.0,2,12,10.0
Loresho,Villa,4,4,180,"Security, Parking",34000000,For Sale,2026-01-21,188888.88888888888,2,1,7.5
Syokimau,House,4,4,180,"Security, Parking",24500000,For Sale,2026-02-03,136111.11111111112,2,2,18.5
Langata,House,4,4,180,"Security, Parking",26000000,For Sale,2026-02-02,144444.44444444444,2,2,11.3
Riverside,Apartment,3,4,120,"Security, Parking",160000,For Rent,2026-01-25,1333.3333333333333,2,1,2.5
Muthaiga,House,5,5,250,"Security, Parking",250000000,For Sale,2026-01-16,1000000.0,2,1,7.2
Karen,House,5,5,250,"Security, Parking",110000000,For Sale,2025-12-20,440000.0,2,12,13.5
Loresho,House,4,4,180,"Security, Parking",125000000,For Sale,2026-01-08,694444.4444444445,2,1,7.5
Lavington,Townhouse,4,4,180,"Security, Parking",67000000,For Sale,2026-02-07,372222.22222222225,2,2,4.5
Off Namanga Road,Townhouse,4,4,180,"Security, Parking",11500000,For Sale,2026-01-11,63888.88888888889,2,1,10.0
Lenana Road,Apartment,2,3,80,"Security, Parking",85000,For Rent,2025-11-24,1062.5,2,11,10.0
Denis Pritt Road,Apartment,1,1,50,"Security, Parking",100000,For Rent,2026-02-07,2000.0,2,2,10.0
Ruiru,House,3,3,120,"Security, Parking",7500000,For Sale,2025-12-18,62500.0,2,12,10.0
Brookside,Townhouse,5,5,250,"Security, Parking",55000000,For Sale,2025-11-28,220000.0,2,11,10.0
Rosslyn,House,6,6,250,"Security, Parking",90000000,For Sale,2026-01-15,360000.0,2,1,10.0
Kiambu Road,Apartment,2,2,80,"Security, Parking",46500,For Rent,2026-02-17,581.25,2,2,8.8
Oloolua Rd,Apartment,2,2,80,"Security, Parking",17000,For Rent,2025-12-21,212.5,2,12,10.0
Kilimani,House,4,4,180,"Security, Parking",49000000,For Sale,2026-01-05,272222.22222222225,2,1,3.8
Kilimani Road,Apartment,4,4,180,"Security, Parking",130000,For Rent,2026-01-26,722.2222222222222,2,1,10.0
Loresho,Apartment,2,2,80,"Security, Parking",65000,For Rent,2026-02-17,812.5,2,2,7.5
Nairobi,House,4,4,180,"Security, Parking",100000000,For Sale,2025-11-24,555555.5555555555,2,11,10.0
Lavington,Townhouse,4,4,180,"Security, Parking",52000000,For Sale,2026-01-22,288888.8888888889,2,1,4.5
Juja Farm Road,House,3,3,120,"Security, Parking",6750000,For Sale,2025-12-29,56250.0,2,12,10.0
303,Townhouse,5,5,250,"Security, Parking",66000000,For Sale,2026-01-12,264000.0,2,1,10.0
Westlands,Apartment,3,3,120,"Security, Parking",90000,For Rent,2025-12-28,750.0,2,12,5.2
Kilimani,Apartment,3,2,120,"Security, Parking",75000,For Rent,2026-01-27,625.0,2,1,3.8
Nyali Cinemax,Apartment,3,2,2500,"Security, Parking",45000,For Rent,2025-12-19,18.0,2,12,10.0
Royal Park Langata,Townhouse,6,6,250,"Security, Parking",28250000,For Sale,2025-12-02,113000.0,2,12,10.0
Westlands,Apartment,3,3,120,"Security, Parking",150000,For Rent,2026-02-02,1250.0,2,2,5.2
2,Apartment,2,2,4500,"Security, Parking",45000,For Rent,2025-12-06,10.0,2,12,10.0
Membley,House,4,4,180,"Security, Parking",10500000,For Sale,2026-01-09,58333.333333333336,2,1,10.0
Bamburi,Villa,4,4,180,"Security, Parking",8950000,For Sale,2026-01-31,49722.22222222222,2,1,10.0
Karen,House,7,7,250,"Security, Parking",97000000,For Sale,2026-02-08,388000.0,2,2,13.5
Thogoto,Apartment,1,1,50,"Security, Parking",18000,For Rent,2025-12-13,360.0,2,12,10.0
Karen,House,4,4,180,"Security, Parking",65000000,For Sale,2026-01-07,361111.1111111111,2,1,13.5
Kileleshwa,Apartment,3,3,120,"Security, Parking",80000,For Rent,2026-01-03,666.6666666666666,2,1,4.2
Dennis Pritt,Apartment,3,2,120,"Security, Parking",150000,For Rent,2025-11-19,1250.0,2,11,10.0
4,Villa,4,4,180,"Security, Parking",120000000,For Sale,2026-02-16,666666.6666666666,2,2,10.0
Kiambu Road,Apartment,4,5,180,"Security, Parking",70000,For Rent,2026-01-24,388.8888888888889,2,1,8.8
Phase 5,House,4,4,180,"Security, Parking",13000000,For Sale,2026-02-14,72222.22222222222,2,2,10.0
Gatundu Close,Apartment,2,2,80,"Security, Parking",70000,For Rent,2025-11-29,875.0,2,11,10.0
Kilimani,Apartment,3,2,120,"Security, Parking",65000,For Rent,2026-01-19,541.6666666666666,2,1,3.8
Lavington,Townhouse,5,5,250,"Security, Parking",40000000,For Sale,2026-01-19,160000.0,2,1,4.5
Njumbi Rd Lavington,Townhouse,4,4,180,"Security, Parking",75000000,For Sale,2025-11-19,416666.6666666667,2,11,10.0
Brookside,Townhouse,4,4,180,"Security, Parking",48000000,For Sale,2026-02-05,266666.6666666667,2,2,10.0
Brookside,Villa,4,4,180,"Security, Parking",47000000,For Sale,2026-01-19,261111.11111111112,2,1,10.0
Waiyaki Way,Apartment,4,4,180,"Security, Parking",95000,For Rent,2026-01-20,527.7777777777778,2,1,10.0
Elgoyo Marakwet Road,Apartment,3,2,120,"Security, Parking",115000,For Rent,2026-01-11,958.3333333333334,2,1,10.0
Athi River,House,4,4,180,"Security, Parking",20000000,For Sale,2025-12-08,111111.11111111111,2,12,10.0
Kilimani,Apartment,1,1,50,"Security, Parking",120000,For Rent,2026-01-12,2400.0,2,1,3.8
Shanzu,Townhouse,2,2,80,"Security, Parking",7500000,For Sale,2025-11-27,93750.0,2,11,10.0
Kiambu Road,Townhouse,3,3,120,"Security, Parking",25000000,For Sale,2025-12-31,208333.33333333334,2,12,8.8
Muigai,House,3,3,120,"Security, Parking",12500000,For Sale,2025-12-28,104166.66666666667,2,12,10.0
Shanzu,Townhouse,3,3,120,"Security, Parking",35000000,For Sale,2025-11-30,291666.6666666667,2,11,10.0
Lavington,Apartment,2,2,80,"Security, Parking",60000,For Rent,2026-02-08,750.0,2,2,4.5
Ngumo Estate,Townhouse,3,3,120,"Security, Parking",19000000,For Sale,2026-02-06,158333.33333333334,2,2,10.0
Ridgeways,House,5,5,250,"Security, Parking",80000000,For Sale,2025-11-28,320000.0,2,11,10.0
Denis Pritt Rd,Apartment,3,2,125,"Security, Parking",85000,For Rent,2025-12-27,680.0,2,12,10.0
10,Townhouse,5,5,250,"Security, Parking",100000000,For Sale,2026-01-20,400000.0,2,1,10.0
Membley,House,5,5,250,"Security, Parking",30000000,For Sale,2025-12-10,120000.0,2,12,10.0
Westlands,Apartment,2,2,80,"Security, Parking",100000,For Rent,2025-12-05,1250.0,2,12,5.2
Diani,House,6,6,250,"Security, Parking",150000000,For Sale,2025-12-22,600000.0,2,12,10.0
Shanzu Road,Apartment,4,5,180,"Security, Parking",150000,For Rent,2025-12-05,833.3333333333334,2,12,10.0
Bamburi,Villa,4,4,180,"Security, Parking",8950000,For Sale,2025-12-23,49722.22222222222,2,12,10.0
Jacaranda,Townhouse,3,3,120,"Security, Parking",12500000,For Sale,2026-02-11,104166.66666666667,2,2,10.0
Karura,Apartment,2,3,80,"Security, Parking",160000,For Rent,2025-12-13,2000.0,2,12,10.0
Mountain View,Apartment,3,2,120,"Security, Parking",70000,For Rent,2025-12-17,583.3333333333334,2,12,10.0
Riara Road,Apartment,4,4,180,"Security, Parking",90000,For Rent,2026-01-24,500.0,2,1,10.0
Kenpipe Gardens,House,4,4,180,"Security, Parking",11000000,For Sale,2026-01-16,61111.11111111111,2,1,10.0
Pepo Lane,House,4,4,180,"Security, Parking",140000000,For Sale,2026-01-10,777777.7777777778,2,1,10.0
Lower Kabete,Villa,6,6,250,"Security, Parking",100000000,For Sale,2026-01-21,400000.0,2,1,10.0
Hardy,House,5,5,250,"Security, Parking",120000000,For Sale,2026-01-30,480000.0,2,1,10.0
Lavington Green,Townhouse,4,4,180,"Security, Parking",36000000,For Sale,2026-01-11,200000.0,2,1,10.0
Nyali Area,Townhouse,4,4,180,"Security, Parking",36000000,For Sale,2026-02-16,200000.0,2,2,10.0
Eastern Bypass,House,5,5,250,"Security, Parking",13000000,For Sale,2025-11-19,52000.0,2,11,10.0
Lavington,Apartment,4,4,180,"Security, Parking",150000,For Rent,2025-12-27,833.3333333333334,2,12,4.5
Kenyatta Road,House,4,4,180,"Security, Parking",39000000,For Sale,2026-01-30,216666.66666666666,2,1,10.0
Chaka Road,Apartment,3,3,220,"Security, Parking",110000,For Rent,2026-01-19,500.0,2,1,10.0
Parklands,Apartment,3,3,120,"Security, Parking",175000,For Rent,2025-12-31,1458.3333333333333,2,12,4.8
Kitengela,House,4,4,180,"Security, Parking",10000000,For Sale,2026-01-15,55555.555555555555,2,1,10.0
Thika,Townhouse,4,4,180,"Security, Parking",12000000,For Sale,2026-01-30,66666.66666666667,2,1,10.0
Landless Estate,House,7,7,250,"Security, Parking",20000000,For Sale,2026-01-05,80000.0,2,1,10.0
Raphta Road,Apartment,3,3,120,"Security, Parking",130000,For Rent,2026-01-26,1083.3333333333333,2,1,10.0
Kilifi County,House,3,3,120,"Security, Parking",65000000,For Sale,2025-12-23,541666.6666666666,2,12,10.0
Nyali Area,Apartment,1,2,50,"Security, Parking",55000,For Rent,2025-12-28,1100.0,2,12,10.0
Kikuyu Town,Townhouse,5,5,250,"Security, Parking",19000000,For Sale,2026-01-18,76000.0,2,1,10.0
Limuru,House,4,4,180,"Security, Parking",25000000,For Sale,2026-01-29,138888.88888888888,2,1,10.0
Westlands,Apartment,2,3,180,"Security, Parking",110000,For Rent,2026-02-01,611.1111111111111,2,2,5.2
Off Denis Pritt,Apartment,2,3,80,"Security, Parking",100000,For Rent,2025-12-31,1250.0,2,12,10.0
Kenyatta Road,Villa,6,6,250,"Security, Parking",28000000,For Sale,2025-12-11,112000.0,2,12,10.0
Syokimau,Townhouse,4,4,180,"Security, Parking",15000000,For Sale,2026-01-28,83333.33333333333,2,1,18.5
Siaya Road,Apartment,3,4,120,"Security, Parking",100000,For Rent,2026-01-15,833.3333333333334,2,1,10.0
Fivestar Meadows,Villa,4,4,180,"Security, Parking",38000000,For Sale,2026-01-02,211111.11111111112,2,1,10.0
Dennis Pritt,Apartment,3,3,250,"Security, Parking",90000,For Rent,2025-12-28,360.0,2,12,10.0
Westlands,Apartment,1,1,50,"Security, Parking",150000,For Rent,2026-01-12,3000.0,2,1,5.2
Kiambu Road,Townhouse,4,4,180,"Security, Parking",85000000,For Sale,2025-12-04,472222.22222222225,2,12,8.8
Ngere Road,House,5,5,250,"Security, Parking",17000000,For Sale,2026-01-22,68000.0,2,1,10.0
Kilimani,Apartment,3,4,120,"Security, Parking",120000,For Rent,2026-01-26,1000.0,2,1,3.8
0714N/0723P,House,1,1,50,"Security, Parking",4800000,For Sale,2025-11-28,96000.0,2,11,10.0
Naivasha,Apartment,3,2,120,"Security, Parking",75000,For Rent,2025-11-29,625.0,2,11,10.0
Kamakis,House,5,5,250,"Security, Parking",15000000,For Sale,2026-01-29,60000.0,2,1,10.0
Lower Kabete,House,4,4,180,"Security, Parking",98000000,For Sale,2026-01-25,544444.4444444445,2,1,10.0
Westlands,Apartment,3,2,120,"Security, Parking",160000,For Rent,2026-02-03,1333.3333333333333,2,2,5.2
Lavington,Apartment,3,2,120,"Security, Parking",85000,For Rent,2026-01-28,708.3333333333334,2,1,4.5
Off Kiambu Road,Townhouse,4,4,180,"Security, Parking",26950000,For Sale,2025-11-23,149722.22222222222,2,11,10.0
Kiganjo Rd,House,4,4,180,"Security, Parking",20000000,For Sale,2026-01-10,111111.11111111111,2,1,10.0
Lolldaiga,House,3,3,120,"Security, Parking",50000000,For Sale,2026-01-15,416666.6666666667,2,1,10.0
Karen Ololua Estate,House,5,5,250,"Security, Parking",99000000,For Sale,2025-12-14,396000.0,2,12,10.0
Kenyatta Road,House,3,3,120,"Security, Parking",7700000,For Sale,2026-01-04,64166.666666666664,2,1,10.0
Muthaiga Road,House,4,4,180,"Security, Parking",170000000,For Sale,2026-01-08,944444.4444444445,2,1,10.0
Thigiri,House,5,5,250,"Security, Parking",130000000,For Sale,2026-01-06,520000.0,2,1,10.0
Ngong Road,Apartment,3,4,120,"Security, Parking",90000,For Rent,2025-12-17,750.0,2,12,10.0
Kiambu Road,Apartment,2,3,300,"Security, Parking",52000,For Rent,2026-02-03,173.33333333333334,2,2,8.8
Siaya Road,Apartment,4,5,180,"Security, Parking",150000,For Rent,2026-01-29,833.3333333333334,2,1,10.0
Syokimau,Apartment,3,2,120,"Security, Parking",35000,For Rent,2025-12-14,291.6666666666667,2,12,18.5
Ngong Road,Apartment,2,3,80,"Security, Parking",48000,For Rent,2026-01-15,600.0,2,1,10.0
Kilimani,Apartment,2,2,80,"Security, Parking",65000,For Rent,2026-02-11,812.5,2,2,3.8
Westlands,Apartment,3,2,186,"Security, Parking",80000,For Rent,2026-02-13,430.10752688172045,2,2,5.2
Loresho,Townhouse,5,5,250,"Security, Parking",120000000,For Sale,2025-12-23,480000.0,2,12,7.5
Westlands,Apartment,2,2,80,"Security, Parking",100000,For Rent,2025-12-02,1250.0,2,12,5.2
Langata,House,5,5,250,"Security, Parking",29000000,For Sale,2026-01-30,116000.0,2,1,11.3
Fourways Junction,Apartment,3,2,120,"Security, Parking",60000,For Rent,2025-12-03,500.0,2,12,10.0
Ngong Road,Apartment,3,2,120,"Security, Parking",62000,For Rent,2026-02-02,516.6666666666666,2,2,10.0
Mbaazi Avenue,Apartment,1,1,50,"Security, Parking",40000,For Rent,2026-02-06,800.0,2,2,10.0
Kileleshwa,Apartment,2,2,80,"Security, Parking",120000,For Rent,2026-01-29,1500.0,2,1,4.2
Lavington,Apartment,1,1,50,"Security, Parking",140000,For Rent,2025-11-26,2800.0,2,11,4.5
Waiyaki Way,House,4,4,180,"Security, Parking",35000000,For Sale,2025-11-24,194444.44444444444,2,11,10.0
Karen,Townhouse,5,5,250,"Security, Parking",65000000,For Sale,2026-01-24,260000.0,2,1,13.5
Ushirika Road,House,6,6,250,"Security, Parking",120000000,For Sale,2025-12-29,480000.0,2,12,10.0
Athi River,House,2,2,80,"Security, Parking",11980000,For Sale,2026-01-31,149750.0,2,1,10.0
78,House,5,5,250,"Security, Parking",75000000,For Sale,2025-12-07,300000.0,2,12,10.0
Afro Sayari,Villa,4,4,180,"Security, Parking",12600000,For Sale,2025-12-24,70000.0,2,12,10.0
Summerfield,House,4,4,180,"Security, Parking",37000000,For Sale,2026-01-23,205555.55555555556,2,1,10.0
