Location,Property_Type,Bedrooms,Bathrooms,Size_SQM,Amenities,Price_KES,Listing_Type,Listing_Date
School Lane,Apartment,3,4,220,"Security, Parking",130000,For Rent,2025-11-22
Ole Dume Road,Apartment,3,2,3,"Security, Parking",90000,For Rent,2026-02-01
Shanzu,Townhouse,4,4,0,"Security, Parking",45000000,For Sale,2025-12-02
Westlands Area,Apartment,3,3,3,"Security, Parking",160000,For Rent,2025-12-08
Rhapta Road,Townhouse,5,5,0,"Security, Parking",48000000,For Sale,2026-01-27
Malindi,Townhouse,3,3,0,"Security, Parking",18000000,For Sale,2026-01-11
lavington,Townhouse,5,5,0,"Security, Parking",95000000,For Sale,2026-01-22
Lavington,Townhouse,4,4,0,"Security, Parking",67000000,For Sale,2025-11-30
Rhapta Road,Apartment,1,1,1,"Security, Parking",135000,For Rent,2026-01-09
801181,Apartment,3,4,2500,"Security, Parking",88000,For Rent,2026-02-12
Kileleshwa,Apartment,2,2,2,"Security, Parking",120000,For Rent,2025-12-16
Loresho,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-14
Kilimani,Apartment,4,4,4,"Security, Parking",130000,For Rent,2025-12-03
Kilimani,Apartment,3,3,220,"Security, Parking",115000,For Rent,2026-01-02
Watamu,House,2,2,0,"Security, Parking",26000000,For Sale,2026-02-05
Kamakis,House,5,5,0,"Security, Parking",19500000,For Sale,2025-11-26
Ridgeways,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-20
090,House,9,9,0,"Security, Parking",72000000,For Sale,2026-02-07
Kasarani,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-14
Riverside,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-26
Ongata Rongai,House,3,3,0,"Security, Parking",7500000,For Sale,2025-12-24
Lavington Green,Townhouse,5,5,0,"Security, Parking",50000000,For Sale,2025-11-20
Garden Estate,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-07
Ruaka,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-11-30
Langata,House,3,3,0,"Security, Parking",16000000,For Sale,2025-12-09
Ruiru,Townhouse,4,4,0,"Security, Parking",13000000,For Sale,2026-01-20
Runda,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-02
kilimani,Apartment,4,4,4,"Security, Parking",160000,For Rent,2026-01-17
Thindigua,Apartment,3,3,3,"Security, Parking",50000,For Rent,2025-12-16
Rhapta Road,Apartment,3,4,3,"Security, Parking",125000,For Rent,2026-01-26
Ruaka,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-11-29
kileleshwa,Apartment,2,2,2,"Security, Parking",85000,For Rent,2026-01-21
Kiambu Road,Townhouse,4,4,0,"Security, Parking",26500000,For Sale,2025-12-10
Syokimau,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-06
Nyayo Estate,Apartment,3,2,3,"Security, Parking",35000,For Rent,2025-12-19
Riverside,Apartment,3,3,3,"Security, Parking",130000,For Rent,2026-02-12
Oledume Road,Apartment,3,2,3,"Security, Parking",100000,For Rent,2025-11-29
Riverside close,Apartment,2,2,160,"Security, Parking",140000,For Rent,2025-12-04
Loresho Ridge,Townhouse,4,4,0,"Security, Parking",40000000,For Sale,2025-12-05
Loresho,Apartment,3,2,129,"Security, Parking",60000,For Rent,2025-12-18
Muthaiga Area,Apartment,3,3,3,"Security, Parking",85000,For Rent,2026-01-30
Matangi,House,3,3,0,"Security, Parking",8000000,For Sale,2025-12-01
Embakasi,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-12
KANDARA ROAD,Apartment,3,3,2500,"Security, Parking",110000,For Rent,2026-01-06
Ruaka,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-23
Kilimani,Apartment,1,1,1,"Security, Parking",55000,For Rent,2026-02-10
21 04 20,Apartment,2,2,158,"Security, Parking",75000,For Rent,2026-01-18
Westlands Area,Townhouse,5,5,0,"Security, Parking",39500000,For Sale,2026-01-08
Loresho,Townhouse,5,5,0,"Security, Parking",150000000,For Sale,2025-12-09
Mbagathi way,Apartment,2,1,2,"Security, Parking",39000,For Rent,2025-11-28
Ngong Road,Apartment,3,2,3,"Security, Parking",65000,For Rent,2025-12-07
Kibo Lane,House,5,5,0,"Security, Parking",220863379,For Sale,2026-01-15
Garden Estate,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-06
Syokimau,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-11-24
Argwings Kodhek,Apartment,2,2,2,"Security, Parking",65000,For Rent,2026-01-31
1,Apartment,3,5,3,"Security, Parking",90000,For Rent,2026-01-13
Loresho,Townhouse,5,5,0,"Security, Parking",118500000,For Sale,2025-12-17
Flame Tree,House,4,4,0,"Security, Parking",95000000,For Sale,2025-12-07
Spring Valley,Villa,5,5,0,"Security, Parking",140000000,For Sale,2026-02-10
Ngong Road,Apartment,2,1,2,"Security, Parking",55000,For Rent,2026-01-31
Kileleshwa,Apartment,3,4,3,"Security, Parking",150000,For Rent,2026-01-22
Convent Road,House,5,5,0,"Security, Parking",70000000,For Sale,2026-02-09
Lavington,Apartment,3,3,3,"Security, Parking",120000,For Rent,2026-01-12
General Mathenge,Apartment,3,3,3,"Security, Parking",125000,For Rent,2026-01-05
Lenana Road,Apartment,3,4,220,"Security, Parking",125000,For Rent,2025-12-18
General Mathenge Drive,Apartment,3,3,280,"Security, Parking",175000,For Rent,2025-11-20
Ridgeways,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-20
Kasarani,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-19
Mogotio Road,Apartment,2,2,158,"Security, Parking",75000,For Rent,2025-12-08
Riverside,Apartment,3,2,3,"Security, Parking",110000,For Rent,2026-01-07
Kiambu Road,Townhouse,4,4,0,"Security, Parking",38000000,For Sale,2025-12-14
Lavington,Apartment,3,3,3,"Security, Parking",120000,For Rent,2026-01-11
Loresho,House,6,6,0,"Security, Parking",125000000,For Sale,2025-12-18
21 03 25,Apartment,1,1,111,"Security, Parking",150000,For Rent,2026-01-26
Kenyatta Road,House,6,6,0,"Security, Parking",150000000,For Sale,2025-12-31
General Mathenge,Townhouse,4,4,0,"Security, Parking",55000000,For Sale,2025-12-21
Brookside Drive,Apartment,3,3,3,"Security, Parking",150000,For Rent,2025-12-31
Ruiru,House,6,6,0,"Security, Parking",35000000,For Sale,2026-02-15
Muthaiga,House,4,4,0,"Security, Parking",138000000,For Sale,2026-01-15
Yaya Centre,Apartment,4,5,290,"Security, Parking",150000,For Rent,2025-12-06
Shanzu Road,Villa,4,4,0,"Security, Parking",65000000,For Sale,2026-01-13
Kilimani,Apartment,3,3,3,"Security, Parking",90000,For Rent,2026-02-08
Rusinga Court,House,5,5,0,"Security, Parking",500000000,For Sale,2025-12-15
Thigiri,Apartment,2,2,150,"Security, Parking",175000,For Rent,2025-12-27
O,House,4,4,0,"Security, Parking",250000000,For Sale,2025-12-27
Gigiri,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-10
Valley Arcade,Apartment,3,3,3,"Security, Parking",160000,For Rent,2026-02-04
Riverside,House,4,4,0,"Security, Parking",60000000,For Sale,2025-11-25
Kilimani,Apartment,3,2,3,"Security, Parking",80000,For Rent,2026-01-17
Kahawa West,Apartment,4,3,4,"Security, Parking",110000,For Rent,2026-02-16
Near Pavillion,House,3,3,0,"Security, Parking",6500000,For Sale,2025-12-05
Juja Farm,House,3,3,0,"Security, Parking",6750000,For Sale,2026-01-31
Near Lavington Mall,Townhouse,4,4,0,"Security, Parking",70000000,For Sale,2025-12-12
Roysambu,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-03
Off Waiyaki Way,Apartment,4,4,4,"Security, Parking",120000,For Rent,2026-02-09
Syokimau,House,5,5,0,"Security, Parking",24000000,For Sale,2025-12-12
Loresho,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-04
Lavington,Townhouse,4,4,0,"Security, Parking",35000000,For Sale,2025-11-20
Syokimau,Apartment,0,1,0,"Security, Parking",0,For Sale,2025-12-25
Diani,Villa,3,3,0,"Security, Parking",0,For Sale,2026-01-24
Spring Valley,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-11-22
Ruaka,House,5,5,0,"Security, Parking",30500000,For Sale,2026-01-02
katani road,Villa,5,5,0,"Security, Parking",22500000,For Sale,2026-02-17
21 05 07,Apartment,3,3,186,"Security, Parking",85000,For Rent,2025-11-24
Mwananchi Rd,House,4,4,0,"Security, Parking",20000000,For Sale,2026-02-09
kilimani,Apartment,2,2,2,"Security, Parking",80000,For Rent,2026-02-04
Kilimani,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-12
Runda,House,5,5,0,"Security, Parking",110000000,For Sale,2026-02-05
Syokimau,House,4,4,0,"Security, Parking",23000000,For Sale,2025-11-23
Nyari,Apartment,3,3,3,"Security, Parking",170000,For Rent,2025-12-06
Ruiru,House,3,3,0,"Security, Parking",9500000,For Sale,2025-12-24
Lavington,Townhouse,4,4,0,"Security, Parking",65000000,For Sale,2025-12-07
Riverside,Apartment,3,4,170,"Security, Parking",130000,For Rent,2025-12-12
Rosslyn,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-10
Runda,Villa,6,6,0,"Security, Parking",155000000,For Sale,2026-02-14
Runda,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-10
Juja,Townhouse,3,3,0,"Security, Parking",9500000,For Sale,2025-12-19
77,House,7,7,0,"Security, Parking",135000000,For Sale,2026-01-11
kilimani,Apartment,3,3,3,"Security, Parking",160000,For Rent,2026-02-13
Shanzu,House,5,5,0,"Security, Parking",45000000,For Sale,2025-12-06
Gigiri crescent,House,6,6,0,"Security, Parking",140000000,For Sale,2026-01-24
Brookside,Apartment,2,2,2,"Security, Parking",85000,For Rent,2026-01-19
Riverside,Apartment,3,3,228,"Security, Parking",130000,For Rent,2025-12-16
Parklands,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-26
Riverside Drive,Apartment,3,5,3,"Security, Parking",145000,For Rent,2026-01-05
Convent Drive,Townhouse,5,5,0,"Security, Parking",70000000,For Sale,2026-02-01
Matasia,House,3,3,0,"Security, Parking",6800000,For Sale,2025-12-11
Tabere Cresent Road,Apartment,2,3,2,"Security, Parking",125000,For Rent,2025-11-29
Kenyatta Road,House,4,4,0,"Security, Parking",15500000,For Sale,2025-12-10
Athi River,House,4,4,0,"Security, Parking",22500000,For Sale,2026-01-01
Donholm,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-30
Buruburu,House,3,3,0,"Security, Parking",10300000,For Sale,2026-02-07
Kilimani,Apartment,3,3,3,"Security, Parking",110000,For Rent,2026-01-12
Lussingetti,House,3,3,0,"Security, Parking",12000000,For Sale,2026-02-12
Westlands Area,Townhouse,5,5,0,"Security, Parking",59500000,For Sale,2025-11-29
Kileleshwa,House,5,5,0,"Security, Parking",65000000,For Sale,2026-01-20
Runda Nairobi,Townhouse,5,5,0,"Security, Parking",150000000,For Sale,2025-12-05
Riara Road,Apartment,2,2,2,"Security, Parking",95000,For Rent,2026-02-05
Langata,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-13
Kiambu Road,Villa,4,4,0,"Security, Parking",45000000,For Sale,2026-01-02
Lang'ata Nairobi,Townhouse,4,4,0,"Security, Parking",27000000,For Sale,2026-02-16
2,Townhouse,5,5,0,"Security, Parking",200000000,For Sale,2026-01-28
Kileleshwa,Apartment,2,2,2,"Security, Parking",90000,For Rent,2026-01-30
Lavington,Townhouse,5,5,0,"Security, Parking",65000000,For Sale,2026-01-18
Karen,House,7,7,0,"Security, Parking",170000000,For Sale,2026-01-16
MUIRU,Apartment,2,1,2,"Security, Parking",13000,For Rent,2025-12-27
Tatu City,Apartment,2,2,85,"Security, Parking",35750,For Rent,2026-01-11
Mbaazi Avenue,Apartment,3,3,3,"Security, Parking",150000,For Rent,2026-01-24
Kiambu Town,House,3,3,0,"Security, Parking",27000000,For Sale,2025-12-14
yukos,House,3,3,0,"Security, Parking",5800000,For Sale,2026-02-17
Gigiri,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-11-30
Kileleshwa,Apartment,2,2,2,"Security, Parking",60000,For Rent,2025-11-20
Kilimani,Apartment,2,2,2,"Security, Parking",78000,For Rent,2025-11-19
General Mathenge,Apartment,3,4,3,"Security, Parking",175000,For Rent,2026-01-01
Chalbi drive,House,4,4,0,"Security, Parking",170000000,For Sale,2025-12-26
South B,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-23
Loresho Ridge,Townhouse,4,4,0,"Security, Parking",40000000,For Sale,2026-01-27
Kileleshwa,House,5,5,0,"Security, Parking",59000000,For Sale,2025-12-09
Riverside Drive,Apartment,3,5,2950,"Security, Parking",155000,For Rent,2026-01-26
Mbagathi Way,Townhouse,3,3,0,"Security, Parking",12500000,For Sale,2025-12-01
Karen,Villa,4,4,0,"Security, Parking",69000000,For Sale,2025-12-29
links road Nyali,House,4,4,0,"Security, Parking",45000000,For Sale,2025-12-09
Westlands,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-02
KIKUYU,Townhouse,4,4,0,"Security, Parking",12000000,For Sale,2025-11-19
ACACIA,House,3,3,0,"Security, Parking",6200000,For Sale,2025-12-18
Kileleshwa,House,5,5,0,"Security, Parking",270000000,For Sale,2026-02-02
fisharies,Apartment,1,1,1,"Security, Parking",13000,For Rent,2026-02-12
Westlands Area,House,4,4,0,"Security, Parking",35000000,For Sale,2026-01-02
Thika Road,Apartment,4,4,4,"Security, Parking",85000,For Rent,2026-02-09
Gigiri,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-09
JCC Church,Villa,4,4,0,"Security, Parking",8950000,For Sale,2025-12-13
Karen,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-11-24
Lavington,Apartment,3,2,3,"Security, Parking",90000,For Rent,2026-01-18
Kangudo road,House,3,3,0,"Security, Parking",7700000,For Sale,2026-01-15
Muthaiga,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-08
Gigiri,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-13
Riverside,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-03
Runda,Townhouse,4,4,0,"Security, Parking",32000000,For Sale,2025-12-06
009,House,10,10,0,"Security, Parking",220000000,For Sale,2025-12-15
Parklands,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-15
Kileleshwa,Apartment,4,4,4,"Security, Parking",150000,For Rent,2025-12-13
Kasarani,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-17
Rhapta Road,Apartment,3,4,240,"Security, Parking",120000,For Rent,2025-12-28
Runda,House,7,7,0,"Security, Parking",85000000,For Sale,2026-02-11
Kilimani,Apartment,3,3,2024,"Security, Parking",85000,For Rent,2026-01-09
Embakasi,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-04
Riverside,Apartment,3,4,3,"Security, Parking",170000,For Rent,2025-12-27
Othaya Road,Apartment,4,4,4,"Security, Parking",150000,For Rent,2026-01-06
Limuru road,Apartment,2,2,12000,"Security, Parking",40000,For Rent,2026-01-11
Kitisuru,Townhouse,4,4,0,"Security, Parking",135000000,For Sale,2025-12-14
Imara Daima,Apartment,3,3,3,"Security, Parking",45000,For Rent,2025-12-23
Rongai,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-21
Parklands,Apartment,4,4,4,"Security, Parking",135000,For Rent,2026-01-06
Thindigua,Apartment,2,2,2,"Security, Parking",45000,For Rent,2025-11-28
Muringa Road,Apartment,5,5,240,"Security, Parking",200000,For Rent,2025-12-11
Riverside,Apartment,1,1,1,"Security, Parking",85000,For Rent,2026-02-09
Lavington,Apartment,4,4,4,"Security, Parking",160000,For Rent,2025-12-13
Donholm,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-05
66,House,5,5,0,"Security, Parking",200000000,For Sale,2026-02-07
beach road,House,3,3,0,"Security, Parking",48000000,For Sale,2026-01-18
Westlands Area,Townhouse,4,4,0,"Security, Parking",58000000,For Sale,2026-01-19
Old Nyali,House,6,6,0,"Security, Parking",85000000,For Sale,2026-01-21
Limuru Road,House,4,4,0,"Security, Parking",25000000,For Sale,2025-12-18
Kitisuru,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-01
Kitisuru,Townhouse,4,4,0,"Security, Parking",45000000,For Sale,2025-12-08
Tatu City,Townhouse,3,3,0,"Security, Parking",29000000,For Sale,2026-02-03
Raphta Road,Apartment,4,4,4,"Security, Parking",100000,For Rent,2026-01-04
Rongai,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-22
Spring Valley,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-10
Spring Valley,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-11-25
Nyali Area,Townhouse,4,4,0,"Security, Parking",43000000,For Sale,2026-02-10
Suguta Road,Apartment,3,3,3,"Security, Parking",110000,For Rent,2025-12-26
Kongowea,House,8,8,0,"Security, Parking",25000000,For Sale,2025-12-01
21 05 07,Apartment,2,2,149,"Security, Parking",70000,For Rent,2025-11-19
Hatheru Rd,Apartment,3,5,3,"Security, Parking",75000,For Rent,2026-02-07
General Mathenge Road,Apartment,3,4,260,"Security, Parking",165000,For Rent,2026-01-12
Mbagathi Ridge,House,5,5,0,"Security, Parking",0,For Sale,2025-11-22
Kitisuru,House,4,4,0,"Security, Parking",62000000,For Sale,2026-02-10
Embakasi,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-17
shanzu,Apartment,3,4,264,"Security, Parking",80000,For Rent,2025-12-18
Denis sprit,Apartment,1,1,1,"Security, Parking",110000,For Rent,2026-01-31
South B,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-13
Nyali Area,Townhouse,3,3,0,"Security, Parking",13000000,For Sale,2025-12-01
Lavington,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-10
Kiambu Road,Apartment,1,1,120,"Security, Parking",35000,For Rent,2025-12-10
Kilimani,Apartment,3,2,3,"Security, Parking",80000,For Rent,2026-01-18
Mountain View,House,5,5,0,"Security, Parking",47500000,For Sale,2026-02-15
waiyaki,Apartment,2,2,2,"Security, Parking",55000,For Rent,2025-12-25
Parkwood Villas,Villa,4,4,0,"Security, Parking",18000000,For Sale,2026-02-16
Lavington,Villa,6,6,0,"Security, Parking",110000000,For Sale,2025-12-19
Kileleshwa,Apartment,0,1,0,"Security, Parking",0,For Sale,2026-01-25
Spring Valley,Townhouse,5,5,0,"Security, Parking",50000000,For Sale,2026-01-04
Karen,Apartment,3,3,3,"Security, Parking",45000,For Rent,2025-12-07
Kikambala,House,4,4,0,"Security, Parking",85000000,For Sale,2026-02-09
Westlands Area,Apartment,2,2,2,"Security, Parking",140000,For Rent,2026-02-17
kilimani,Apartment,3,2,3,"Security, Parking",100000,For Rent,2026-01-16
Posta,Villa,6,6,0,"Security, Parking",38000000,For Sale,2025-12-15
Loresho,Villa,4,4,0,"Security, Parking",34000000,For Sale,2026-01-21
Syokimau,House,4,4,0,"Security, Parking",24500000,For Sale,2026-02-03
Rongai,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-01
Langata,House,4,4,0,"Security, Parking",26000000,For Sale,2026-02-02
Riverside,Apartment,3,4,3,"Security, Parking",160000,For Rent,2026-01-25
Muthaiga,House,5,5,0,"Security, Parking",250000000,For Sale,2026-01-16
Karen,House,5,5,0,"Security, Parking",110000000,For Sale,2025-12-20
Loresho,House,4,4,0,"Security, Parking",125000000,For Sale,2026-01-08
Hurlingham,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-12
Lavington,Townhouse,4,4,0,"Security, Parking",67000000,For Sale,2026-02-07
South B,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-11-21
Off Namanga Road,Townhouse,4,4,0,"Security, Parking",11500000,For Sale,2026-01-11
Parklands,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-08
Lenana Road,Apartment,2,3,2,"Security, Parking",85000,For Rent,2025-11-24
Denis Pritt Road,Apartment,1,1,1,"Security, Parking",100000,For Rent,2026-02-07
Upperhill,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-04
Ruiru,House,3,3,0,"Security, Parking",7500000,For Sale,2025-12-18
Karen,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-11-21
Ridgeways,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-03
Brookside,Townhouse,5,5,0,"Security, Parking",55000000,For Sale,2025-11-28
Rosslyn,House,6,6,0,"Security, Parking",90000000,For Sale,2026-01-15
Kiambu Road,Apartment,2,2,2,"Security, Parking",46500,For Rent,2026-02-17
Oloolua Rd,Apartment,2,2,2,"Security, Parking",17000,For Rent,2025-12-21
Ridgeways,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-11-21
Karen,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-13
Kilimani,House,4,4,0,"Security, Parking",49000000,For Sale,2026-01-05
Kilimani Road,Apartment,4,4,4,"Security, Parking",130000,For Rent,2026-01-26
Loresho,Apartment,2,2,2,"Security, Parking",65000,For Rent,2026-02-17
01,House,4,4,0,"Security, Parking",100000000,For Sale,2025-11-24
Lavington,Townhouse,4,4,0,"Security, Parking",52000000,For Sale,2026-01-22
Juja Farm Road,House,3,3,0,"Security, Parking",6750000,For Sale,2025-12-29
303,Townhouse,5,5,0,"Security, Parking",66000000,For Sale,2026-01-12
Rhapta Road,Apartment,3,3,3,"Security, Parking",90000,For Rent,2025-12-28
kilimani,Apartment,3,2,3,"Security, Parking",75000,For Rent,2026-01-27
Nyali cinemax,Apartment,3,2,2500,"Security, Parking",45000,For Rent,2025-12-19
Royal Park Langata,Townhouse,6,6,0,"Security, Parking",28250000,For Sale,2025-12-02
Hurlingham,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-03
Upperhill,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-06
Rhapta Road,Apartment,3,3,3,"Security, Parking",150000,For Rent,2026-02-02
2,Apartment,2,2,4500,"Security, Parking",45000,For Rent,2025-12-06
Lavington,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-08
Membley,House,4,4,0,"Security, Parking",10500000,For Sale,2026-01-09
Bamburi,Villa,4,4,0,"Security, Parking",8950000,For Sale,2026-01-31
Karen,House,7,7,0,"Security, Parking",97000000,For Sale,2026-02-08
THOGOTO,Apartment,1,1,1,"Security, Parking",18000,For Rent,2025-12-13
Karen,House,4,4,0,"Security, Parking",65000000,For Sale,2026-01-07
Kileleshwa,Apartment,3,3,3,"Security, Parking",80000,For Rent,2026-01-03
Dennis Pritt,Apartment,3,2,3,"Security, Parking",150000,For Rent,2025-11-19
4,Villa,4,4,0,"Security, Parking",120000000,For Sale,2026-02-16
Kiambu Road,Apartment,4,5,4,"Security, Parking",70000,For Rent,2026-01-24
PHASE 5,House,4,4,0,"Security, Parking",13000000,For Sale,2026-02-14
Gatundu Close,Apartment,2,2,2,"Security, Parking",70000,For Rent,2025-11-29
kilimani,Apartment,3,2,3,"Security, Parking",65000,For Rent,2026-01-19
Lavington,Townhouse,5,5,0,"Security, Parking",40000000,For Sale,2026-01-19
Njumbi Rd Lavington,Townhouse,4,4,0,"Security, Parking",75000000,For Sale,2025-11-19
Brookside,Townhouse,4,4,0,"Security, Parking",48000000,For Sale,2026-02-05
Donholm,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-01
Brookside,Villa,4,4,0,"Security, Parking",47000000,For Sale,2026-01-19
Kitisuru,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-27
Gigiri,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-04
Waiyaki Way,Apartment,4,4,4,"Security, Parking",95000,For Rent,2026-01-20
Elgoyo marakwet road,Apartment,3,2,3,"Security, Parking",115000,For Rent,2026-01-11
Runda,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-03
Athi River,House,4,4,0,"Security, Parking",20000000,For Sale,2025-12-08
Kilimani,Apartment,1,1,1,"Security, Parking",120000,For Rent,2026-01-12
shanzu,Townhouse,2,2,0,"Security, Parking",7500000,For Sale,2025-11-27
Kiambu Road,Townhouse,3,3,0,"Security, Parking",25000000,For Sale,2025-12-31
Muigai,House,3,3,0,"Security, Parking",12500000,For Sale,2025-12-28
Garden Estate,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-16
Shanzu,Townhouse,3,3,0,"Security, Parking",35000000,For Sale,2025-11-30
lavington,Apartment,2,2,2,"Security, Parking",60000,For Rent,2026-02-08
Roysambu,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-11-24
Ngumo Estate,Townhouse,3,3,0,"Security, Parking",19000000,For Sale,2026-02-06
Ridgeways,House,5,5,0,"Security, Parking",80000000,For Sale,2025-11-28
denis pritt rd,Apartment,3,2,125,"Security, Parking",85000,For Rent,2025-12-27
10,Townhouse,5,5,0,"Security, Parking",100000000,For Sale,2026-01-20
Kitisuru,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-18
Membley,House,5,5,0,"Security, Parking",30000000,For Sale,2025-12-10
Westlands Area,Apartment,2,2,2,"Security, Parking",100000,For Rent,2025-12-05
Diani,House,6,6,0,"Security, Parking",150000000,For Sale,2025-12-22
Shanzu road,Apartment,4,5,4,"Security, Parking",150000,For Rent,2025-12-05
bamburi,Villa,4,4,0,"Security, Parking",8950000,For Sale,2025-12-23
Jacaranda,Townhouse,3,3,0,"Security, Parking",12500000,For Sale,2026-02-11
Roysambu,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-15
Karura,Apartment,2,3,2,"Security, Parking",160000,For Rent,2025-12-13
Mountain View,Apartment,3,2,3,"Security, Parking",70000,For Rent,2025-12-17
Hurlingham,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-16
Lavington,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-11-28
Riara road,Apartment,4,4,4,"Security, Parking",90000,For Rent,2026-01-24
Kenpipe Gardens,House,4,4,0,"Security, Parking",11000000,For Sale,2026-01-16
Thika Road,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-30
Pepo Lane,House,4,4,0,"Security, Parking",140000000,For Sale,2026-01-10
Lower kabete,Villa,6,6,0,"Security, Parking",100000000,For Sale,2026-01-21
Hardy,House,5,5,0,"Security, Parking",120000000,For Sale,2026-01-30
Lavington Green,Townhouse,4,4,0,"Security, Parking",36000000,For Sale,2026-01-11
Nyali Area,Townhouse,4,4,0,"Security, Parking",36000000,For Sale,2026-02-16
Eastern ByPass,House,5,5,0,"Security, Parking",13000000,For Sale,2025-11-19
Lavington,Apartment,4,4,4,"Security, Parking",150000,For Rent,2025-12-27
Upperhill,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-18
Kenyatta Road,House,4,4,0,"Security, Parking",39000000,For Sale,2026-01-30
Chaka Road,Apartment,3,3,220,"Security, Parking",110000,For Rent,2026-01-19
Parklands,Apartment,3,3,3,"Security, Parking",175000,For Rent,2025-12-31
Kitengela,House,4,4,0,"Security, Parking",10000000,For Sale,2026-01-15
Thika,Townhouse,4,4,0,"Security, Parking",12000000,For Sale,2026-01-30
Landless Estate,House,7,7,0,"Security, Parking",20000000,For Sale,2026-01-05
Raphta Road,Apartment,3,3,3,"Security, Parking",130000,For Rent,2026-01-26
Kilifi County,House,3,3,0,"Security, Parking",65000000,For Sale,2025-12-23
Kileleshwa,Apartment,0,1,0,"Security, Parking",0,For Sale,2025-12-16
Gigiri,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-04
Nyali Area,Apartment,1,2,1,"Security, Parking",55000,For Rent,2025-12-28
Kikuyu Town,Townhouse,5,5,0,"Security, Parking",19000000,For Sale,2026-01-18
Limuru,House,4,4,0,"Security, Parking",25000000,For Sale,2026-01-29
